layer,surface,entry,execution_owner_today,run_backed,state_composed,status,tags,evidence
cli,command,mfm run status,cli wrapper -> AppServices::run_status,n/a,n/a,Aligned,,"bin/cli/src/commands/run/status.rs:35;crates/app/src/lib.rs:557"
cli,command,mfm run events,cli wrapper -> AppServices::run_events,n/a,n/a,Aligned,,"bin/cli/src/commands/run/events.rs:43;crates/app/src/lib.rs:638"
cli,command,mfm run artifacts get,cli wrapper -> artifact helper,n/a,n/a,Aligned,,"bin/cli/src/commands/run/artifacts.rs:40;crates/app/src/lib.rs:869"
rest,route,GET /v1/health,rest adapter health probe,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:146;bin/rest-api/src/lib.rs:196"
rest,route,GET /v1/ready,rest adapter readiness probes,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:147;bin/rest-api/src/lib.rs:200"
rest,route,GET /v1/features,rest adapter feature descriptors,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:148;bin/rest-api/src/lib.rs:339"
rest,route,POST /v1/features/:feature_id/execute,rest adapter -> feature catalog,depends_on_feature,depends_on_feature,Mixed,,"bin/rest-api/src/lib.rs:149;bin/rest-api/src/lib.rs:347;crates/app/src/lib.rs:1371"
rest,route,POST /v1/runs/start,rest adapter -> AppServices::start_run,true,depends_on_target_op,Aligned,,"bin/rest-api/src/lib.rs:150;bin/rest-api/src/lib.rs:251;crates/app/src/lib.rs:471"
rest,route,POST /v1/runs/:run_id/resume,rest adapter -> AppServices::resume_run,true,n/a,Aligned,,"bin/rest-api/src/lib.rs:151;bin/rest-api/src/lib.rs:263;crates/app/src/lib.rs:528"
rest,route,GET /v1/runs/:run_id/status,rest adapter -> AppServices::run_status,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:152;bin/rest-api/src/lib.rs:275;crates/app/src/lib.rs:557"
rest,route,GET /v1/runs/:run_id/events,rest adapter -> AppServices::run_events,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:153;bin/rest-api/src/lib.rs:292;crates/app/src/lib.rs:638"
rest,route,GET /v1/artifacts/:artifact_id,rest adapter -> AppServices::artifact_get,n/a,n/a,Aligned,,"bin/rest-api/src/lib.rs:154;bin/rest-api/src/lib.rs:304;crates/app/src/lib.rs:677"
app,feature,run.start,FeatureCatalog -> AppServices::start_run,true,depends_on_target_op,Aligned,,"crates/app/src/lib.rs:1166;crates/app/src/lib.rs:1383;crates/app/src/lib.rs:471"
app,feature,run.resume,FeatureCatalog -> AppServices::resume_run,true,n/a,Aligned,,"crates/app/src/lib.rs:1167;crates/app/src/lib.rs:1388;crates/app/src/lib.rs:528"
app,feature,run.status,FeatureCatalog -> AppServices::run_status,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1168;crates/app/src/lib.rs:1393;crates/app/src/lib.rs:557"
app,feature,run.events,FeatureCatalog -> AppServices::run_events,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1169;crates/app/src/lib.rs:1398;crates/app/src/lib.rs:638"
app,feature,artifact.get,FeatureCatalog -> AppServices::artifact_get,n/a,n/a,Aligned,,"crates/app/src/lib.rs:1170;crates/app/src/lib.rs:1407;crates/app/src/lib.rs:677"
app,feature,pipeline.deploy_configure_validate.start,FeatureCatalog -> app template helper -> start_run,true,partial,Partially aligned,B2,"crates/app/src/lib.rs:1171;crates/app/src/lib.rs:1412;crates/app/src/lib.rs:682;crates/app/src/lib.rs:1057"
app,feature,portfolio.snapshot,FeatureCatalog -> app feature helper -> start_run + postprocess,true,partial,Partially aligned,B2,"crates/app/src/lib.rs:1176;crates/app/src/lib.rs:1417;crates/app/src/lib.rs:695"
ops,registered,proof,Operation expand -> StateGraph,true,true,Aligned,,"crates/app/src/lib.rs:380;crates/ops/proof-op/src/lib.rs:116"
ops,registered,keystore_tx_sign,Operation expand -> StateGraph,true,true,Contract gap,"B4|B5","crates/app/src/lib.rs:381;crates/ops/keystore-tx-op/src/lib.rs:113;crates/ops/keystore-tx-op/src/lib.rs:548"
ops,registered,keystore_tx_send_raw,Operation expand -> StateGraph,true,true,Contract gap,B4,"crates/app/src/lib.rs:382;crates/ops/keystore-tx-op/src/lib.rs:191;crates/ops/keystore-tx-op/src/lib.rs:356"
ops,registered,evm_read,Operation expand -> StateGraph,true,true,Aligned,,"crates/app/src/lib.rs:383;crates/ops/evm-read-op/src/lib.rs:61"
ops,registered,evm_contract_from_nix,Operation expand -> StateGraph,true,true,Aligned,,"crates/app/src/lib.rs:384;crates/ops/evm-write-op/src/lib.rs:1294"
ops,registered,evm_deploy,Operation expand -> StateGraph,true,true,Contract gap,"B4|B5","crates/app/src/lib.rs:385;crates/ops/evm-write-op/src/lib.rs:1416;crates/ops/evm-write-op/src/lib.rs:965"
ops,registered,evm_configure,Operation expand -> StateGraph,true,true,Aligned,,"crates/app/src/lib.rs:386;crates/ops/evm-write-op/src/lib.rs:1596"
ops,registered,evm_validate,Operation expand -> StateGraph,true,true,Aligned,,"crates/app/src/lib.rs:387;crates/ops/evm-write-op/src/lib.rs:1812"
ops,registered,portfolio_tracker,Operation expand -> StateGraph,true,true,Aligned,,"crates/app/src/lib.rs:388;crates/ops/portfolio-tracker-op/src/lib.rs:191"
ops,registered,nix_app,Operation expand -> StateGraph,true,true,Aligned,,"crates/app/src/lib.rs:389;crates/ops/nix-app-op/src/lib.rs:84"
ops,architecture,reusable state library adoption,shared state primitives exist in ops/common but most states remain op-local,n/a,partial,Partially aligned,B6,"crates/ops/common/src/lib.rs:1;crates/ops/common/src/states/evm.rs:100;crates/ops/evm-write-op/src/lib.rs:1364;crates/ops/keystore-tx-op/src/lib.rs:260"
ops,packaging,mfm-op-keystore,re-export wrapper around core keystore,false,false,Packaging gap,B3,"crates/ops/keystore-op/src/lib.rs:8;crates/ops/keystore-op/README.md:3"
